time,x,y,heading (rad),speed
10.5,-0.152484,16.0481,1.5958,2
10.55,-0.154984,16.1481,1.5958,2
10.6,-0.157484,16.248,1.5958,2
10.65,-0.159983,16.348,1.5958,2
10.7,-0.162483,16.448,1.5958,2
10.75,-0.164983,16.5479,1.5958,2
10.8,-0.167483,16.6479,1.5958,2
10.85,-0.169982,16.7479,1.5958,2
10.9,-0.172482,16.8478,1.5958,2
10.95,-0.174982,16.9478,1.5958,2
11,-0.177482,17.0478,1.5958,2
11.05,-0.179981,17.1478,1.5958,2
11.1,-0.182481,17.2477,1.5958,2
11.15,-0.184981,17.3477,1.5958,2
11.2,-0.18748,17.4477,1.5958,2
11.25,-0.18998,17.5476,1.5958,2
11.3,-0.19248,17.6476,1.5958,2
11.35,-0.19498,17.7476,1.5958,2
11.4,-0.197479,17.8475,1.5958,2
11.45,-0.199979,17.9475,1.5958,2
11.5,-0.202479,18.0475,1.5958,2
11.55,-0.204979,18.1474,1.5958,2
11.6,-0.207478,18.2474,1.5958,2
11.65,-0.209978,18.3474,1.5958,2
11.7,-0.212478,18.4473,1.5958,2
11.75,-0.214978,18.5473,1.5958,2
11.8,-0.217477,18.6473,1.5958,2
11.85,-0.219977,18.7473,1.5958,2
11.9,-0.222477,18.8472,1.5958,2
11.95,-0.224977,18.9472,1.5958,2
12,-0.227476,19.0472,1.5958,2
12.05,-0.229976,19.1471,1.5958,2
12.1,-0.232476,19.2471,1.5958,2
12.15,-0.234976,19.3471,1.5958,2
12.2,-0.237475,19.447,1.5958,2
12.25,-0.239975,19.547,1.5958,2
12.3,-0.242475,19.647,1.5958,2
12.35,-0.244974,19.7469,1.5958,2
12.4,-0.247474,19.8469,1.5958,2
12.45,-0.249974,19.9469,1.5958,2
12.5,-0.249974,20.0469,1.5708,2
12.55,-0.249974,20.1469,1.5708,2
12.6,-0.249974,20.2469,1.5708,2
12.65,-0.249974,20.3469,1.5708,2
12.7,-0.249974,20.4469,1.5708,2
12.75,-0.249974,20.5469,1.5708,2
12.8,-0.249974,20.6469,1.5708,2
12.85,-0.249974,20.7469,1.5708,2
12.9,-0.249974,20.8469,1.5708,2
12.95,-0.249974,20.9469,1.5708,2
13,-0.249974,21.0469,1.5708,2
13.05,-0.249974,21.1469,1.5708,2
13.1,-0.249974,21.2469,1.5708,2
13.15,-0.249974,21.3469,1.5708,2
